COUNTY,COUNTY_FIPS,DATE_CREATED,DATE_UPDATED,COUNTY_ID
Autauga,1001,2024-11-07 21.54.07.448000000 -05:00,,1B710ECF7B504BADAE4BA27B1CC0B433
Baldwin,1003,2024-11-07 21.54.07.448000000 -05:00,,7FA0689CC939448C85006443553F5DE8
Barbour,1005,2024-11-07 21.54.07.448000000 -05:00,,0342B0CB2F884442869EB3F451739C1B
Bibb,1007,2024-11-07 21.54.07.448000000 -05:00,,619500693DF74338A7B3703EE1AD309C
Blount,1009,2024-11-07 21.54.07.448000000 -05:00,,EA22A57EF096494D84D6ED9829DA8A63
Bullock,1011,2024-11-07 21.54.07.448000000 -05:00,,3F37A184816F4885B92B5D9B1692D59F
Butler,1013,2024-11-07 21.54.07.448000000 -05:00,,FBCCBD1161EF4868A28FF3648B22D606
Calhoun,1015,2024-11-07 21.54.07.448000000 -05:00,,06954A9E736541DB9C9BD25945BF1ADD
Chambers,1017,2024-11-07 21.54.07.448000000 -05:00,,B9CF607B4A4C4B80AEA41973B6A6A96A
Cherokee,1019,2024-11-07 21.54.07.448000000 -05:00,,874509BAB0844141A18FA801A1A1267B
